,UM25C Excel,,,,,,
,,,,,2.999935598,<5,5
公司：杭州睿登科技,,表格数据,,,,,
Voltage-Current,,,,,,,
  Time （s）,  Voltage  (V),  Current  (A),,,,,
47,5.173,0.5148,2.6630604,-0.336875198,,,
48,5.177,0.5148,2.6651196,-0.334815998,,,
49,5.177,0.5069,2.6242213,-0.375714298,,,
50,5.177,0.479,2.479783,-0.520152598,,,
51,5.176,0.5141,2.6609816,-0.338953998,,,
52,5.173,0.5141,2.6594393,-0.340496298,,,
53,5.176,0.5141,2.6609816,-0.338953998,,,
54,5.177,0.4776,2.4725352,-0.527400398,,,
55,5.177,0.4794,2.4818538,-0.518081798,,,
56,5.175,0.5175,2.6780625,-0.321873098,,,
57,5.173,0.5175,2.6770275,-0.322908098,,,
58,5.177,0.5151,2.6666727,-0.333262898,,,
59,5.177,0.4974,2.5750398,-0.424895798,,,
60,5.173,0.5173,2.6759929,-0.323942698,,,
61,5.173,0.4955,2.5632215,-0.436714098,,,
62,5.175,0.4955,2.5642125,-0.435723098,,,
63,5.177,0.4954,2.5646858,-0.435249798,,,
64,5.177,0.4958,2.5667566,-0.433178998,,,
65,5.177,0.4803,2.4865131,-0.513422498,,,
66,5.177,0.4803,2.4865131,-0.513422498,,,
67,5.177,0.4823,2.4968671,-0.503068498,,,
68,5.177,0.4823,2.4968671,-0.503068498,,,
69,5.177,0.4823,2.4968671,-0.503068498,,,
70,5.176,0.498,2.577648,-0.422287598,,,
71,5.171,0.5223,2.7008133,-0.299122298,,,
72,5.171,0.5223,2.7008133,-0.299122298,,,
73,5.172,0.564,2.917008,-0.082927598,,,
74,5.17,0.5224,2.700808,-0.299127598,,,
75,5.172,0.5224,2.7018528,-0.298082798,,,
76,5.172,0.5224,2.7018528,-0.298082798,,,
77,5.172,0.5361,2.7727092,-0.227226398,,,
78,5.172,0.5226,2.7028872,-0.297048398,,,
79,5.172,0.5225,2.70237,-0.297565598,,,
80,5.172,0.5225,2.70237,-0.297565598,,,
81,5.172,0.5225,2.70237,-0.297565598,,,
82,5.172,0.5225,2.70237,-0.297565598,,,
83,5.172,0.5226,2.7028872,-0.297048398,,,
84,5.172,0.5227,2.7034044,-0.296531198,,,
